result1,result2,result3,result4,result5,result6,result7,result8,result9,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147,result148,result149,result150,result151,result152,result153,result154,result155,result156,result157,result158,result159,result160,result161,result162,result163,result164,result165,result166,result167,result168,result169,result170,result171,result172,result173,result174,result175,result176,result177,result178,result179,result180,result181,result182,result183,result184,result185,result186,result187,result188,result189,result190,result191,result192,result193,result194,result195,result196,result197,result198,result199,result200,result201,result202,result203,result204,result205,result206,result207,result208,result209,result210,result211,result212,result213,result214,result215,result216,result217,result218,result219,result220,result221,result222,result223,result224,result225,result226,result227,result228,result229,result230,result231,result232,result233,result234,result235,result236
Everything,MISIA,Cakewalk,Melody,VocalFx_House_001.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything,MISIA,Cakewalk,Melody,VocalFx_House_002.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything,MISIA,Cakewalk,Melody,VocalFx_House_003.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything,MISIA,Cakewalk,Melody,VocalFx_House_004.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything,MISIA,Cakewalk,Melody,Vocal_16BeatPops_146_E.001.wav,0.239742456384882,0.236402651629224,0.324575029323764,0.238499849582653,0.243230958581587,0.247911448769128,0.357343826473527,0.245738567910086,0.166467088514239,0.382123039500375,0.40030470635984,0.384428429946574,0.372581816901357,0.247723476796254,0.217189923959839,0.281283590619739,0.158141238648908,0.400395245225686,0.247996273932207,0.200538412661808,0.600355071133771,0.321058510039367,0.24789543832194,0.30921909995395,0.13916753352944,0.410422604216961,0.276791517889959,0.44902227356115,0.471908705873302,0.178157560387144,0.238060334060626,0.205454598964327,0.140186877482754,0.33484426028955,0.344039995138681,0.303685260981037,0.622068732165732,0.208297004384907,0.40080438612468,0.199362087568446,0.108359177957572,0.425960346999865,0.238186881607532,0.345457631445515,0.334433582624272,0.435962477146235,0.37568919914911,0.0996594516035182,0.139386579858761,0.255294861630489,0.238996428463237,0.119768615461808,0.28642998286729,0.29268472167655,0.618409518937624,0.196788632061733,0.264942780156997,0.187317620497025,0.441693111401908,0.233229205225411,0.341387926177668,0.305401972937532,0.205828829805811,0.261203536043604,0.295799945029193,0.14374321827763,0.325976291154351,0.240133555768701,0.372672157999642,0.115162680888671,0.32893536784067,0.21065784514657,0.331252288144454,0.261885673038046,0.514957049987154,0.176755604372188,0.167362331156491,0.399621527478529,0.200932511669517,0.260207118750991,0.205834437319567,0.144979056081629,0.282863429779377,0.122055695683462,0.284265647687673,0.198291939006458,0.346382103340705,0.505688627496017,0.398877435023985,0.493908856973506,0.229599725406114,0.2243880158938,0.152167906381447,0.38464603026114,0.381784138192001,0.282985921912213,0.534777185360861,0.207940028124699,0.413677452065349,0.319509488746196,0.152058137015362,0.501638462895473,0.564100389130375,0.392059707542015,0.568035227977381,0.320990230671775,0.477421751029886,0.082594575999867,0.130740067665573,0.339515569997705,0.297137432586191,0.152057709217482,0.389264786785971,0.309747923863001,0.322730311231275,0.115755783323002,0.323989765535901,0.332089190084049,0.306224787754603,0.294766276564417,0.373860675888768,0.372453497130451,0.23425974710474,0.424851798065579,0.287508629885132,0.10890136744409,0.161642339939942,0.29369554084666,0.48044971882987,0.356935604068708,0.387739232991246,0.3632529996146,0.346178315475993,0.3955899083309,0.227990002962256,0.0918517371488112,0.36410157667673,0.216407590323464,0.573703655138475,0.319975305126895,0.353997155192341,0.320259610431112,0.342511895122061,0.205955167769853,0.559746694780121,0.380769128884715,0.394686891158326,0.304257308072629,0.460379201118824,0.247163791806417,0.297149516206014,0.227849211329481,0.357559992846034,0.475806581475034,0.137994179727631,0.311908205913717,0.248368209144516,0.207510167652488,0.371955184034233,0.340377128728588,0.24302861753121,0.27334740868188,0.341031706181191,0.404454979067694,0.179930587985902,0.205838813185032,0.448771566736849,0.398421388128557,0.5372944791458,0.289624889890704,0.256377404399131,0.214287042274797,0.232688925432092,0.393327371997304,0.272543304767034,0.407794329380381,0.33357234849499,0.439306271430584,0.210128572551788,0.379375722285673,0.250030132226059,0.136650187818631,0.220294364577958,0.185814426758516,0.279022822244533,0.387285492677909,0.25563321827555,0.0581918434893898,0.328056789878857,0.27346069073896,0.464849857346864,0.215830936237693,0.215649311700168,0.51560449390478,0.408196807714311,0.223326664208514,0.484959638576632,0.250001433338621,0.395765944314926,0.430143929767898,0.268168906774437,0.452243572650197,0.480473212638097,0.167610752445926,0.147004007254399,0.426116476139188,0.111191625160548,0.195399425490888,0.26954054009755,0.324623121605737,0.30321637568857,0.236607050568176,0.465375145341919,0.283680769627926,0.268882961231726,0.23104374862467,0.257132398091439,0.306453084551054,0.363437220330695,0.212504586966409,0.263931247934731,0.206004085044096,0.176222757650721,0.231370096443781,0.276424892955553,0.271024115741964,0.272575716739665,0.19889083745476,0.125408990881491,0,
Everything,MISIA,Cakewalk,Melody,Vocal_CollageJazz_100_D_001.wav,0.261722418574359,0.334185007594702,0.495069210977743,0.419269122592001,0.336044116984135,0.370184301121426,0.632594462710442,0.356994522684342,0.299713005117695,0.639587929953999,0.592200507416466,0.421165779403528,0.447776111036579,0.377653228868186,0.346661023960724,0.296726468480187,0.195979388765608,0.285891156527718,0.393859818726151,0.34090561520006,0.48720265026639,0.232256116087744,0.301576206724183,0.598830749989363,0.357830770564482,0.199662239027669,0.554859613669844,0.293638919965077,0.260678964619394,0.233458484074258,0.3708011207977,0.253745241244351,0.211785163972115,0.418885099937379,0.374295528676676,0.391505868435645,0.447837227018481,0.281646873478475,0.37176907993646,0.589645822434865,0.278583959130261,0.278768452802519,0.564857165147995,0.352879255869065,0.390583640288288,0.428312477553254,0.413130262287443,0.150286073140021,0.178930670043572,0.335531290007474,0.489746340486219,0.199426999353781,0.321495013221902,0.486513802610047,0.437727671504119,0.260796627005712,0.245484560477057,0.582771139827077,0.437248229948178,0.323436516420864,0.424283443261726,0.434669089685567,0.263622472992079,0.291497519425472,0.577901560570531,0.275690111013814,0.478177910101839,0.286285503340496,0.200761924451282,0.227275406565153,0.299758429532801,0.316487868178166,0.350398338689918,0.408951878520033,0.390018915456956,0.299188235774445,0.409446891259531,0.311276587738587,0.469500896946558,0.44565775803977,0.298122015911976,0.350831891015437,0.377065962813331,0.244276233693348,0.389893232941741,0.427959577740709,0.359593064320619,0.471012120793997,0.512711915526831,0.486251806165184,0.133317333697905,0.319900944301486,0.175332299844604,0.337359336088911,0.376981979511803,0.381871323729,0.726110753622674,0.265598822261084,0.367400620803649,0.564455185140419,0.373910296325929,0.247799764305238,0.632960662086456,0.387956433982595,0.489536006938985,0.339102169660203,0.432503568552851,0.166057227976046,0.166861250878948,0.319065151101525,0.509729732629137,0.237880228242365,0.45526455962242,0.583343309110118,0.363033505335843,0.155952520234696,0.335270650439433,0.76920049948151,0.366355395720369,0.344103782351279,0.507319298730926,0.398727814200823,0.247077511944835,0.402585391419064,0.44764856776505,0.184566477857528,0.337687166921243,0.417188077353962,0.44267204634787,0.37797824028855,0.367572798515362,0.383864054710604,0.524975313998079,0.471062783880798,0.304935125666576,0.198713396851312,0.619617206646488,0.498801610708138,0.421358001236422,0.5809381884889,0.635178710526032,0.348307141120647,0.62016010523002,0.337163375523126,0.420773402387001,0.360221390256136,0.350068677042515,0.478910561131209,0.535856650975323,0.345417483824549,0.329402332518064,0.290278923697416,0.526075345824639,0.398296820481513,0.369956440185075,0.517942027889069,0.324075351478252,0.399454213988355,0.402246781639491,0.328764503983329,0.388132171147378,0.369361053118249,0.412973506416818,0.685919585976246,0.271503507641946,0.326520671976372,0.583854539211821,0.394723358728154,0.502923081814481,0.451430289916705,0.425795564999859,0.277661136625687,0.308966698602261,0.6043947820319,0.483669370283168,0.406148383832639,0.553132986291297,0.497738871333651,0.45725354244356,0.564922363489924,0.17841244100925,0.253030149898569,0.221428843155332,0.33070485539475,0.287307730739761,0.542933606376583,0.301064071982208,0.169131101826497,0.702547197079819,0.551163506977875,0.276881863456011,0.407144305706394,0.460366251578974,0.459858436881749,0.745159439488461,0.361196423292423,0.377829506381664,0.45579573431217,0.369693044944321,0.514479973202827,0.419881355993836,0.544134958359429,0.332050334141472,0.282152544438726,0.501295931579417,0.350728408047514,0.28470097558628,0.437514658767697,0.374912034815314,0.625973969234924,0.611844554843733,0.411996364559592,0.393011196236417,0.715100832131037,0.481279920881017,0.387902377164747,0.235853172924707,0.429844011374929,0.652973201539846,0.275211284676703,0.401324764725932,0.282331940754738,0.249517829437601,0.352097675353481,0.410390987595158,0.409666434464385,0.394788131643654,0.231396815467188,0.128659213177269,0,
Everything,MISIA,Cakewalk,Melody,Vocal_HipHop_83_001.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything,MISIA,Cakewalk,Melody,Vocal_HipHop_83_003.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything,MISIA,Cakewalk,Melody,Vocal_HipHop_83_B_002.wav,0.324499586327769,0.285619695024254,0.242918424582451,0.29035829239101,0.28475073017294,0.308237659450589,0.348280442831191,0.302305154479983,0.317701965188266,0.385250444906733,0.355407028917439,0.290452736534412,0.261472275316153,0.277984307828723,0.31165840665385,0.335470637098005,0.324960544499349,0.306443666276883,0.303025131743225,0.263791031001115,0.30531791275812,0.234691708047472,0.18905962449388,0.21817570152504,0.231054533594206,0.230748746196361,0.297626114623196,0.368400207515976,0.283460923191277,0.377666056513386,0.313213260658167,0.310840480901662,0.432071058594298,0.391778653528761,0.377913623024627,0.307774186993175,0.306859768492573,0.264266086966513,0.228047685688193,0.224157031134747,0.265357062719565,0.323630278951988,0.355220833355857,0.364962433363552,0.290921760942145,0.302715752378828,0.224141999439882,0.219638699962481,0.256883917165363,0.33671402399718,0.293979113782047,0.295131670162874,0.355760902401175,0.243902337309608,0.260260511889563,0.296022373494754,0.315239411116655,0.398368073555698,0.424235195662913,0.368368448642266,0.345248055211099,0.317717699662758,0.298488517817163,0.326388607477873,0.257408821967488,0.229263279014989,0.266061473351609,0.200338824540681,0.212752805153668,0.234193010578451,0.270216953060152,0.343665167271285,0.311628840995485,0.272129764122048,0.253717670242876,0.27849372842036,0.233005878351089,0.204621916322806,0.239335723027809,0.263367950985884,0.216555759555326,0.271314026883489,0.284425647832319,0.259598374358159,0.350742826231141,0.423272325171824,0.474294212782715,0.398385025170598,0.304637954200716,0.224348740766171,0.264514216514013,0.383663497177932,0.450018863789406,0.423024849139647,0.342026304626364,0.324013368990337,0.349999046378803,0.318469209570677,0.304628244220492,0.37347226209986,0.47422718805408,0.432113578787272,0.395836651800898,0.352211315934094,0.293527089950678,0.273438136033583,0.227433511164568,0.233760440410754,0.275600425731589,0.357389369867665,0.325540189848623,0.32807079536752,0.253283482049165,0.235951353440463,0.264247098639016,0.293105022405126,0.290711567729679,0.314233603670626,0.397646213069277,0.351412008811491,0.370061020488778,0.332111947887046,0.285341385348695,0.243931172354293,0.226338572076199,0.228457450423023,0.297649500810105,0.330208020584066,0.315164480845983,0.298695175892015,0.355024453709372,0.328296126929101,0.261224836298362,0.26423047191152,0.250848837897074,0.295767303353303,0.307269581067951,0.257941145463348,0.30244976081665,0.328594336267282,0.353548364031243,0.346737007648336,0.296884642319645,0.300265820612328,0.314260161852873,0.311166677546334,0.323674172085408,0.351296944343329,0.244111087013085,0.285793562521578,0.29977727196352,0.310634941235467,0.29680172151645,0.248833935564178,0.321789608010948,0.313193480925974,0.274318805657114,0.316445279592615,0.308218255179608,0.34933509230908,0.441701292186724,0.389934783781481,0.349409864635849,0.346127675101952,0.400728060706193,0.421950326051462,0.431558768339335,0.348080141809893,0.340916743471763,0.31538758202854,0.345115807955358,0.332816952966554,0.331107086574773,0.382630474049447,0.372634499367251,0.401067121010423,0.508562147295368,0.384568384500159,0.292976989965654,0.248464767749167,0.212183728635591,0.279301560541994,0.297269874586762,0.337132618183476,0.226862609236279,0.282483701477646,0.278102089651149,0.315668039767199,0.33414166206743,0.238695794474015,0.283785076123194,0.42066100981811,0.348547546844971,0.33902186506014,0.268485071203576,0.309737118094709,0.316491087800783,0.335663899701535,0.381488888466678,0.372925572366267,0.344436560326646,0.325523839128409,0.313272882933988,0.264589125578546,0.211538227420462,0.25112173120586,0.314674574802253,0.40318548921414,0.347488888447593,0.29663572036011,0.392932803142369,0.402690028465056,0.330544013106705,0.30781570280014,0.361778953263763,0.396535219562105,0.321907261792217,0.328535362911313,0.318871889892223,0.374093038850366,0.299957321669433,0.288907648251194,0.330189756593308,0.313606173109328,0.355361927372399,0.366437644715035,0,,,,
Everything,MISIA,Cakewalk,Melody,Vocal_House_130_G_001.wav,0.181361497063479,0.270699852791734,0.321636390025551,0.254599372374748,0.278343999387236,0.350710913670922,0.326555423927073,0.191272903292077,0.253216084265898,0.449174677893185,0.362802172622423,0.294586561521019,0.26903424850479,0.247504015495792,0.330013109289143,0.229568992617087,0.229736707991384,0.148859721807409,0.241294211455769,0.308085984170142,0.366012108926882,0.169005507487971,0.123536346929492,0.194765271050087,0.252674156230097,0.206020297981229,0.326566467894482,0.387100796154918,0.181934997629264,0.169493857716017,0.24863063643602,0.17307108940035,0.270749145803456,0.239826125875371,0.32903924168866,0.27536741461253,0.351668118401709,0.203001548122601,0.161303654133946,0.145391860097207,0.22538724451918,0.219024990966388,0.387924754399004,0.262722747884802,0.395176863875507,0.353555216328983,0.344897653891379,0.200584390226051,0.27766522597397,0.259149243745402,0.204624430581202,0.2766371463191,0.281079243018405,0.272055644922757,0.31048863044384,0.319013002753379,0.205674288570598,0.417391411257314,0.35416277486583,0.480737339077829,0.388146662777759,0.209069308857462,0.238973822117705,0.32811718057839,0.30131075838404,0.327042187868232,0.208630449260413,0.223844395734333,0.394957259101162,0.220373318280188,0.529615571414609,0.293554255452314,0.599808322667117,0.329718511114433,0.258495163047506,0.200227042800219,0.361945150719475,0.243853355903924,0.458989799145261,0.290375450670254,0.149109535493561,0.321578662406207,0.344232087229484,0.249386498366883,0.197928417859249,0.309270188502899,0.448845654917328,0.355716861754024,0.38467003789474,0.214173956907118,0.229083022957558,0.189738458398211,0.228945019286632,0.212965598077307,0.325769400044,0.313506774431782,0.434974113652361,0.194561635309424,0.231789470148247,0.186578012000535,0.241771826692403,0.260156510379095,0.414476555765997,0.302026968706356,0.340208512542777,0.286056654655647,0.230371644816729,0.188336305193734,0.28026666302345,0.220710404589163,0.238217929203983,0.344627356085017,0.243518118737414,0.321100391981704,0.293277209986566,0.281780099801719,0.228523408577857,0.568928192576678,0.523265747828038,0.33286313780797,0.430659656956944,0.197207120986879,0.293622064125167,0.315537540738025,0.168008356168182,0.16906437563539,0.330674086986988,0.301217723363725,0.386482856317841,0.32480312576117,0.480392552191105,0.319491131219135,0.623657645995552,0.283696645118136,0.259095165045571,0.27932590403281,0.278804966877018,0.283523846608774,0.215873945758271,0.250679820619741,0.336032125440199,0.277357227964717,0.285752299361669,0.324673730454401,0.331917518322784,0.283794565868345,0.416915957255348,0.323075285328476,0.493911588850325,0.232289542831824,0.25646958863904,0.303942506687295,0.373255147218281,0.268032373962458,0.578716013037716,0.304091452356649,0.183647531460835,0.288260647411172,0.404366790958734,0.302743870899075,0.239156657510581,0.308231604562464,0.324473639944058,0.400153008304507,0.286216354910016,0.432474089293379,0.39619545495535,0.345508528739823,0.33034877377772,0.29648583416437,0.28951172803951,0.236504569853526,0.307325443637253,0.344765211470891,0.296144096392597,0.281772514263035,0.358136356247254,0.262742763460044,0.30095742771526,0.335764374979028,0.168282357582532,0.280701477998476,0.197749730301961,0.333287280803564,0.350061928574198,0.326878962329988,0.136933319078837,0.32935754604545,0.422454928997158,0.286340834747111,0.241931358659139,0.304372026372811,0.430735758320985,0.25700345010754,0.280148082954205,0.265944009930729,0.235653553491167,0.352695750226188,0.374410980556103,0.341345829319054,0.411142370092641,0.380285977653909,0.232590589449432,0.203988164548386,0.357302104248716,0.264925380056793,0.373465334014443,0.285495156615957,0.236110858546082,0.468462497373692,0.523954405833871,0.597218564623715,0.198474658247919,0.362023578933526,0.388460470893262,0.272654713475881,0.192392744396535,0.311306311824497,0.328150443019933,0.293224110210547,0.283364553346774,0.181297327373501,0.330699761830112,0.234486881552162,0.28199521986722,0.286745690108221,0.196448392043877,0.103353623209481,0,,
