result1,result2,result3,result4,result5,result6,result7,result8,result9,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147,result148,result149,result150,result151,result152,result153,result154,result155,result156,result157,result158,result159,result160,result161,result162,result163,result164,result165,result166,result167,result168,result169,result170,result171,result172,result173,result174,result175,result176,result177,result178,result179,result180,result181,result182,result183,result184,result185,result186,result187,result188,result189,result190,result191,result192,result193,result194,result195,result196,result197,result198,result199,result200,result201,result202
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_001.wav,0,0.366982928,0.486962495,0.45311965,0.424139243,0.374103854,0.427897717,0.498932862,0.438791774,0.36189662,0.443627258,0.315380278,0.323112135,0.286190048,0.332843308,0.487702096,0.560417471,0.464243571,0.452412514,0.370893801,0.398867551,0.446927036,0.462963656,0.405189296,0.438326164,0.410742473,0.456829033,0.343492845,0.286703623,0.311488348,0.266660528,0.314145396,0.358826352,0.432301664,0.52225632,0.411808424,0.347664558,0.390695521,0.348307642,0.338896885,0.272389726,0.376996572,0.316757002,0.316408628,0.259129979,0.265963588,0.261397648,0.428494664,0.48633211,0.434331724,0.479125449,0.41870587,0.373893959,0.344016444,0.371201555,0.414736267,0.417948866,0.488007734,0.432436176,0.489617126,0.535123613,0.497304254,0.376592769,0.306817497,0.407610603,0.461816746,0.503814212,0.446446011,0.526289763,0.543248021,0.483546161,0.412972293,0.375895019,0.356230985,0.328318157,0.215869059,0.195908974,0.192951308,0.240243199,0.335568123,0.326011624,0.29379241,0.291850703,0.400368444,0.497331933,0.440885269,0.403307282,0.506850068,0.522349889,0.429629011,0.497532424,0.475984709,0.453239121,0.476739504,0.52111976,0.463112643,0.411610538,0.382327381,0.359905933,0.399157373,0.389333857,0.442321741,0.484116373,0.503271412,0.449161467,0.404305485,0.409374177,0.368063441,0.346097125,0.354639873,0.370983827,0.397670808,0.340593211,0.301598462,0.27567282,0.43066995,0.54019491,0.45762574,0.480017334,0.386063221,0.462938022,0.383681468,0.404434738,0.437913509,0.470167848,0.460969711,0.444182919,0.438955722,0.51651492,0.463831789,0.414043992,0.356658152,0.415337911,0.470339881,0.500382882,0.440097827,0.536758207,0.567959252,0.475925367,0.447053535,0.466031899,0.427970796,0.567424709,0.584423976,0.553656985,0.507858814,0.500202551,0.448482834,0.448867754,0.426692638,0.416050451,0.425968021,0.491561808,0.508450751,0.519042108,0.512143613,0.539959298,0.565825539,0.487886438,0.460070073,0.500446881,0.546537281,0.534248397,0.454124465,0.472998328,0.479520211,0.39621741,0.398841334,0.394840174,0.371719275,0.329504597,0.337230904,0.347183562,0.26698358,0.286828808,0.256769747,0.221677561,0.212324889,0.255199112,0.262608075,0.287993954,0.330458226,0.343243624,0.352697828,0.352969081,0.335327853,0.361268589,0.3971401,0.447549628,0.490000028,0.458859237,0.392492171,0,0,0,,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_002.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_003.wav,0,0.159640807,0.37862993,0.460404503,0.609411056,0.381521629,0.302951093,0.641229307,0.457667941,0.589572865,0.428527488,0.338353213,0.492724534,0.31392032,0.272871313,0.317752137,0.500571812,0.673834393,0.325606926,0.551112404,0.428082825,0.342824037,0.462805888,0.431197933,0.630717946,0.353515502,0.531777608,0.4802715,0.368650443,0.379658053,0.321598072,0.239490736,0.280056155,0.410449634,0.547588607,0.540739854,0.527501831,0.402206619,0.449192208,0.466179513,0.352249407,0.297898768,0.368092089,0.407937065,0.33641676,0.30917433,0.175754924,0.251255738,0.568694185,0.577239097,0.503830191,0.491393019,0.444321693,0.540362986,0.290952537,0.509736044,0.619069083,0.393710212,0.5090862,0.537172669,0.496475026,0.680515787,0.577061497,0.412890462,0.301214528,0.350804201,0.612389797,0.472604155,0.474450436,0.551717826,0.542466471,0.506756282,0.505902006,0.280010666,0.53330908,0.223957296,0.258454205,0.198618399,0.188827755,0.276312998,0.497799913,0.404705392,0.318369274,0.342853596,0.379652898,0.542480843,0.487467641,0.356874575,0.435459515,0.419999033,0.458704272,0.522343885,0.470180165,0.41577099,0.486141502,0.529938342,0.55030163,0.342607737,0.47276141,0.196568064,0.431521228,0.443373763,0.430700707,0.585884329,0.572857897,0.550681962,0.499308882,0.350497306,0.639480665,0.302537108,0.367223452,0.444110804,0.433944458,0.407016341,0.260910177,0.248558863,0.633556512,0.56159537,0.588185222,0.467641777,0.45811696,0.560001042,0.447837073,0.458151546,0.579159996,0.562908716,0.538239521,0.462858242,0.544305103,0.663273979,0.589521779,0.469613518,0.399154816,0.426832111,0.595381371,0.501975849,0.493376079,0.581558344,0.673834608,0.473479561,0.688110605,0.332789993,0.570398791,0.574997418,0.712590991,0.657760805,0.611281102,0.582838384,0.479539153,0.612111872,0.445899316,0.58017882,0.4898891,0.583448305,0.583182517,0.565118845,0.627326268,0.607455124,0.573703174,0.523181025,0.562203986,0.490157874,0.698644702,0.547147217,0.514587587,0.552278964,0.612762907,0.418882468,0.304710635,0.386251045,0.477664136,0.294756172,0.554443563,0.31919137,0.32311221,0.381521128,0.372387241,0.154983679,0.33551754,0.314136015,0.332462367,0.409582282,0.366190813,0.449672262,0.434449863,0.396261757,0.471955048,0.405607666,0.563777266,0.542123859,0.553505884,0.451854089,0.296553524,0.291079008,0,0,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_004.wav,0,0.141469229,0.369776292,0.536641096,0.657561043,0.41022864,0.356174151,0.63320839,0.47789087,0.641841126,0.459912715,0.33558471,0.547685572,0.290158039,0.269768079,0.317313718,0.494848876,0.678855994,0.409904878,0.57962343,0.501867682,0.346047057,0.520774566,0.473517828,0.65984085,0.357986599,0.565012218,0.51684353,0.421235037,0.36504196,0.314160536,0.267048682,0.29562063,0.409861844,0.557648909,0.543931952,0.576108076,0.377111358,0.421643512,0.496099604,0.339834696,0.319364525,0.384359777,0.427418562,0.309215846,0.32845811,0.188603037,0.281490369,0.540962398,0.582093266,0.52051087,0.481695949,0.485936885,0.548781238,0.29766593,0.483538494,0.573838743,0.3954809,0.486184373,0.58984439,0.501829511,0.668576405,0.580449467,0.415237542,0.31109269,0.351994686,0.642045678,0.534521793,0.50814779,0.573082253,0.58703836,0.557473863,0.536580125,0.297085235,0.547320495,0.232666766,0.286891088,0.209962264,0.190456043,0.28337446,0.471633153,0.383276905,0.310370172,0.331343205,0.368616531,0.55313515,0.539130848,0.393440164,0.454561653,0.493468268,0.524910456,0.518014203,0.495197345,0.445387136,0.52038857,0.566214776,0.585695036,0.371743561,0.490915674,0.213307116,0.437378969,0.464049696,0.415055662,0.594422108,0.581650943,0.55458746,0.466048674,0.336316887,0.633952049,0.292306611,0.370311671,0.459483056,0.425573479,0.430951471,0.280640762,0.264167627,0.582338131,0.577828171,0.612576679,0.461564748,0.501450582,0.533390189,0.460934878,0.4426308,0.576459337,0.547348536,0.525740641,0.463560849,0.552144686,0.625879373,0.576894627,0.462137839,0.430692274,0.428578514,0.578228893,0.529545838,0.531461604,0.570111982,0.682876738,0.518882852,0.663508773,0.329804736,0.604753181,0.589737477,0.731457254,0.663178174,0.605173632,0.574882428,0.504033022,0.612042741,0.44590566,0.547008129,0.483720104,0.55617605,0.615739957,0.566150884,0.639413521,0.614702028,0.589557427,0.580823693,0.585322644,0.509638406,0.705654633,0.598484431,0.57785919,0.535650727,0.594018333,0.450095995,0.313631408,0.474574656,0.52378641,0.333178643,0.530799672,0.318042025,0.315276245,0.357908283,0.352939973,0.151296213,0.32238644,0.303737728,0.309405801,0.396345323,0.349023977,0.434981124,0.406314927,0.385632656,0.447292935,0.379731463,0.519309336,0.512276944,0.538467173,0.525554123,0.399829137,0.391711439,0,0,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_Fill_001.wav,0,0.141193077,0.229440677,0.190123616,0.232113624,0.18111256,0.140857987,0.233735415,0.244876344,0.233952741,0.286005206,0.224988025,0.246847219,0.279863624,0.239285072,0.283948615,0.320799436,0.267784311,0.132358272,0.191199318,0.197434333,0.293203038,0.231780107,0.170579356,0.23405496,0.191545915,0.20536296,0.237111875,0.22914148,0.324108105,0.252620582,0.237751721,0.216078425,0.196982729,0.251748624,0.324348639,0.211156144,0.184730927,0.181741661,0.226494473,0.178134629,0.147936477,0.222512298,0.180564425,0.172182756,0.149499262,0.078326762,0.129172563,0.244831057,0.270936605,0.256390651,0.246251902,0.208774864,0.327218842,0.18971411,0.246131668,0.229242952,0.225293838,0.200096532,0.269022935,0.367851243,0.296939928,0.280892432,0.242938944,0.170995015,0.208235122,0.31570526,0.262159588,0.269010081,0.288622939,0.216754588,0.287757678,0.280077063,0.14264818,0.302908108,0.169126572,0.201648558,0.131621502,0.123426447,0.160976089,0.256068447,0.240883262,0.164343243,0.231899299,0.263189464,0.28235151,0.291282236,0.366622266,0.323375642,0.327469463,0.422563559,0.398500684,0.291837087,0.204381107,0.255919385,0.386992697,0.355698045,0.350342854,0.41737042,0.323139395,0.314104653,0.331076121,0.230917921,0.392768414,0.361962532,0.277931396,0.211976332,0.194285113,0.297769762,0.210854712,0.275667146,0.228814592,0.227613531,0.182453379,0.122894496,0.119296224,0.280907541,0.28989717,0.255632445,0.227933644,0.235607746,0.291195944,0.247227517,0.230469452,0.28042865,0.308419479,0.223127568,0.246358213,0.279689423,0.253549656,0.26338194,0.231451382,0.254000239,0.262872592,0.324728153,0.262378275,0.262643502,0.280674742,0.270693011,0.245890445,0.328935847,0.13694115,0.243676098,0.363940463,0.286560137,0.301744983,0.28307972,0.264339177,0.263302439,0.321762251,0.248367364,0.257580891,0.244456346,0.248404636,0.251081474,0.294870786,0.36062519,0.258685815,0.266753919,0.224149351,0.304756166,0.301375935,0.31915538,0.275498092,0.283807609,0.26001726,0.29351885,0.240944913,0.16829609,0.174688308,0.217899926,0.147512093,0.308120283,0.1578,0.160537841,0.206895718,0.18512798,0.113946261,0.176307445,0.189639114,0.204122699,0.271733479,0.259117377,0.336764529,0.353387069,0.265957263,0.316555072,0.28444044,0.292693877,0.286708621,0.299810054,0.223996281,0.114428717,0.101613635,0,0,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_Fill_002.wav,0,0.074276842,0.16994834,0.149744623,0.193887436,0.123029297,0.129286639,0.177920817,0.194735369,0.189948771,0.223841989,0.151212947,0.192298184,0.178949153,0.161656015,0.196941896,0.21827871,0.209188169,0.130702747,0.161377277,0.166677776,0.167390989,0.184263212,0.150421207,0.189999483,0.150731134,0.17981457,0.191070365,0.178870586,0.209693829,0.179525757,0.177150142,0.161188641,0.178236245,0.196684684,0.230243011,0.168166294,0.17229558,0.142926211,0.169808132,0.110890702,0.131955371,0.168699197,0.17165364,0.132336979,0.108030511,0.062704367,0.104825582,0.18564014,0.21416669,0.197629155,0.168388885,0.164855507,0.18450909,0.13074309,0.146386273,0.161385749,0.185867627,0.150749718,0.195284456,0.265014383,0.22026685,0.204360787,0.18321096,0.147994231,0.126873379,0.242569126,0.177254192,0.177863513,0.228145347,0.184660995,0.195345149,0.191267951,0.124230857,0.218972721,0.11411032,0.127424208,0.069166059,0.066672447,0.125717127,0.196942656,0.216826152,0.136498966,0.148197703,0.165055637,0.199150026,0.211790639,0.239965705,0.225834325,0.238288652,0.213345709,0.211551316,0.222242124,0.219864385,0.249904034,0.211097047,0.334533768,0.224506969,0.265531822,0.347098419,0.212265851,0.210933361,0.145105668,0.241380217,0.222898454,0.219015345,0.164001933,0.146266146,0.225312128,0.133467125,0.180978989,0.230934133,0.159492896,0.147270524,0.108968714,0.107233949,0.196926263,0.192629072,0.20121599,0.159890893,0.168827266,0.173382894,0.15273628,0.162355076,0.203411254,0.227827047,0.167617443,0.17284562,0.204800199,0.190879973,0.211954285,0.156987179,0.188835555,0.136412844,0.219465425,0.186993766,0.186969226,0.238840883,0.225587715,0.176623241,0.287833764,0.129435494,0.199720896,0.394622682,0.306598001,0.229554217,0.226201521,0.183211378,0.19682233,0.214845867,0.164705977,0.168947101,0.234905071,0.20125441,0.202951695,0.196274097,0.276352144,0.215158532,0.206049264,0.170365473,0.201014203,0.172532853,0.222096616,0.334019816,0.235133643,0.209648955,0.233421254,0.17431412,0.151482123,0.141900495,0.167374024,0.129326942,0.395623333,0.129064692,0.126951011,0.155549498,0.133119348,0.085805705,0.12814984,0.145175312,0.160632206,0.20502255,0.187359794,0.248256695,0.213840847,0.201422348,0.253237635,0.229494914,0.2428453,0.230925646,0.24711873,0.184502748,0.09812439,0.083655824,0,0,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_Fill_003.wav,0,0.110099343,0.267304747,0.521981588,0.591766229,0.404370258,0.428545746,0.569373116,0.393513115,0.55106674,0.375035468,0.209187864,0.581394233,0.242017271,0.189864989,0.238512254,0.349800541,0.615616212,0.538385609,0.633249229,0.534599108,0.321111444,0.490671476,0.527241663,0.603074624,0.287490092,0.461598949,0.394933488,0.454115284,0.340703663,0.216420293,0.227224895,0.196418851,0.292987976,0.406406429,0.422671094,0.575785162,0.233959436,0.271626216,0.440479178,0.247683448,0.277521545,0.231198929,0.392549633,0.213758844,0.25299612,0.196383039,0.326690695,0.399134588,0.501333368,0.406792487,0.343728241,0.538382807,0.431637365,0.203344022,0.299406414,0.323566852,0.244847886,0.353062959,0.633464763,0.460589372,0.524028368,0.445564059,0.365874023,0.268681365,0.244838192,0.58573091,0.494017021,0.50704437,0.401278494,0.555618751,0.647796194,0.536216854,0.298199339,0.433076743,0.268103231,0.301916067,0.151225007,0.134677299,0.2366313,0.272037332,0.252334929,0.158370534,0.216438504,0.260541268,0.562935937,0.593226114,0.517172078,0.514386752,0.589342181,0.610894553,0.449518868,0.509290387,0.499182996,0.496744138,0.636273384,0.623170969,0.464950605,0.427750424,0.307730477,0.447366778,0.360341901,0.28947115,0.548633827,0.522014522,0.440938867,0.328148238,0.252020579,0.506337823,0.193675379,0.256503418,0.419002536,0.342173897,0.358390844,0.287329705,0.282294342,0.333960019,0.43993472,0.539836983,0.343764353,0.531394476,0.307558472,0.382872546,0.275794593,0.351177191,0.35729376,0.364815069,0.381709566,0.458345549,0.408114396,0.447707342,0.34227234,0.311264144,0.243389965,0.395641928,0.45590108,0.50971975,0.37807754,0.547268711,0.579073595,0.434941871,0.244463783,0.54327814,0.482710608,0.649258942,0.491142017,0.428813999,0.461966745,0.530600964,0.458315823,0.292892888,0.342919446,0.368507549,0.350542479,0.469483787,0.466369818,0.57642247,0.477942806,0.44571223,0.58731805,0.495964818,0.382959322,0.500445965,0.538612942,0.578220258,0.369669808,0.478742604,0.397968012,0.248587766,0.516136432,0.500406547,0.338389837,0.407650595,0.249557934,0.21007206,0.246951448,0.227553322,0.106088019,0.200433933,0.190735132,0.178774908,0.251613257,0.241132295,0.270332523,0.274096665,0.22056861,0.281954999,0.240366122,0.297447314,0.300014983,0.369161889,0.508732753,0.4823563,0.481198089,0,0,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk1_105_Fill_004.wav,0,0.104712917,0.290885909,0.573521688,0.651511405,0.413288805,0.438321186,0.522847042,0.424743214,0.632963862,0.403623334,0.245902906,0.574376348,0.234660563,0.228868872,0.251622049,0.362393447,0.593410294,0.511651559,0.575171786,0.538380589,0.335330914,0.488748812,0.502503118,0.600513341,0.341951614,0.490327598,0.428295723,0.453091782,0.306644675,0.257275157,0.247995602,0.208935897,0.338564358,0.425345738,0.461691042,0.556050667,0.276981822,0.311496688,0.461335761,0.282927619,0.315004838,0.286387004,0.445969047,0.271000991,0.294750903,0.245707402,0.340671994,0.417138235,0.539381762,0.463186593,0.345968052,0.538944407,0.452255655,0.263926643,0.344564171,0.357595689,0.290087848,0.402814567,0.618049473,0.503481952,0.571470202,0.505140911,0.401687235,0.297152995,0.271528173,0.59983744,0.517603699,0.507008383,0.464007506,0.578494764,0.621189151,0.548661502,0.324394466,0.464768532,0.276996832,0.302441448,0.162778655,0.147646506,0.265799958,0.325289427,0.283023888,0.20514207,0.226505381,0.286030637,0.562178699,0.579688266,0.481884268,0.477030695,0.563297329,0.628211398,0.428773185,0.500684025,0.504552444,0.51838781,0.539848293,0.576858296,0.451791308,0.419956985,0.31155118,0.429872965,0.418464562,0.301341542,0.553362982,0.509485327,0.457321315,0.379078443,0.260352134,0.513649684,0.227707876,0.286773567,0.441381559,0.338285105,0.39155021,0.348099729,0.296365632,0.372682372,0.472874182,0.572759029,0.371636831,0.509733755,0.330853097,0.443996556,0.300247876,0.386626024,0.389342225,0.386559068,0.390149596,0.490390128,0.44561175,0.490743525,0.367292742,0.348884607,0.285494356,0.464861896,0.511053334,0.529293065,0.425818733,0.58790251,0.553924394,0.464357059,0.283121999,0.537532758,0.491941884,0.662810862,0.540922373,0.482454498,0.447440899,0.536746775,0.503143211,0.32309643,0.408163461,0.3978032,0.391878338,0.496584259,0.523567117,0.597223292,0.494600784,0.469144352,0.629333355,0.540882421,0.434681289,0.561379669,0.58270015,0.580207767,0.399612567,0.464984201,0.432815908,0.276096905,0.540681924,0.530548372,0.345498646,0.400635497,0.250118619,0.237690097,0.287212991,0.271317941,0.10848485,0.256621283,0.225850636,0.27741798,0.246799816,0.223048537,0.325887805,0.292136404,0.278957389,0.364184195,0.263696621,0.360437798,0.389623652,0.43774209,0.549808991,0.474742588,0.471498936,0,0,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk2_95_001.wav,0,0.082422472,0.256215344,0.399124714,0.448448224,0.302933935,0.319620215,0.381771229,0.309106193,0.389376961,0.312614327,0.183104504,0.414248156,0.235759359,0.177722094,0.256446303,0.328445311,0.427832964,0.348512577,0.421289572,0.359434561,0.292326846,0.369702386,0.364380466,0.43260917,0.260137061,0.358422311,0.332576224,0.339377012,0.325821647,0.199379166,0.256818265,0.163998774,0.230937729,0.305691431,0.353439646,0.375078458,0.183318445,0.236433163,0.327973621,0.22018697,0.225778621,0.194965104,0.353303346,0.19151829,0.214473503,0.168621747,0.228840829,0.340332502,0.398887754,0.353028575,0.30773209,0.423362923,0.359265736,0.193673499,0.250184432,0.249899557,0.197029932,0.268817283,0.457541956,0.396854915,0.421875757,0.390170317,0.320411413,0.23512814,0.20616557,0.430764107,0.412283338,0.383759691,0.305618634,0.392156526,0.438623209,0.410760748,0.233211319,0.350615422,0.211254911,0.269907065,0.133329335,0.11646333,0.231334339,0.234905903,0.228845273,0.137013699,0.181994022,0.230792354,0.509371207,0.437288257,0.592062275,0.442377576,0.465294698,0.50076921,0.398488872,0.405768628,0.423377186,0.402886694,0.479393096,0.50065835,0.50741132,0.377228057,0.359968713,0.358039396,0.31031392,0.218116216,0.459562508,0.415506287,0.346915428,0.26829988,0.21486952,0.378425984,0.17039962,0.226005817,0.348251187,0.269509687,0.294995936,0.241114069,0.207748547,0.266502578,0.341971266,0.415917203,0.289757929,0.407759372,0.246433315,0.302747334,0.218165035,0.292107234,0.28257877,0.273701825,0.312266024,0.416157845,0.322467847,0.369530377,0.289142055,0.270377286,0.20755,0.335835851,0.37675676,0.401034497,0.306355916,0.415904375,0.39402717,0.350172388,0.197578864,0.38895049,0.435301731,0.492426533,0.391554544,0.353059091,0.352511654,0.395331612,0.38421999,0.265322986,0.266515722,0.307893108,0.28001293,0.354800483,0.370971551,0.502808722,0.376868855,0.368369874,0.481860369,0.406815694,0.33700249,0.413111581,0.466606382,0.494971294,0.318030637,0.396550914,0.34867743,0.221395683,0.387616752,0.375299536,0.275453211,0.404389001,0.202871494,0.194792493,0.214073689,0.196950975,0.079153378,0.196393332,0.178451855,0.157044988,0.208039181,0.191442386,0.226312192,0.218974898,0.196534559,0.249005479,0.202023669,0.259703143,0.256967512,0.338941872,0.506274845,0.503525404,0.498603285,0,0,
First Love,Utada Hikaru,Cakewalk,Rhythm,Drum_16beatFunk2_95_002.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
