result1,result2,result3,result4,result5,result6,result7,result8,result9,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147,result148,result149,result150,result151,result152,result153,result154,result155,result156,result157,result158,result159,result160,result161,result162,result163,result164,result165,result166,result167,result168,result169,result170,result171,result172,result173,result174,result175,result176,result177,result178,result179,result180,result181,result182,result183,result184,result185,result186,result187,result188,result189,result190,result191,result192,result193,result194,result195,result196,result197,result198,result199,result200,result201,result202
First Love,Utada Hikaru,Cakewalk,Melody,VocalFx_House_001.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Love,Utada Hikaru,Cakewalk,Melody,VocalFx_House_002.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Love,Utada Hikaru,Cakewalk,Melody,VocalFx_House_003.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Love,Utada Hikaru,Cakewalk,Melody,VocalFx_House_004.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Love,Utada Hikaru,Cakewalk,Melody,Vocal_16BeatPops_146_E.001.wav,0,0.083391244,0.376250432,0.116915975,0.216832715,0.078751319,0.218393833,0.400568297,0.495012436,0.275011111,0.550913027,0.309516398,0.223198938,0.259801879,0.365422721,0.423420171,0.576411463,0.389733171,0.172861146,0.249420922,0.282436851,0.313896097,0.599874194,0.396273725,0.212492306,0.346729138,0.752426092,0.342256067,0.227612953,0.335284759,0.431003075,0.431579412,0.489581494,0.19738433,0.256728804,0.673547923,0.168612931,0.191873653,0.092585901,0.11109848,0.108054426,0.088743173,0.268131735,0.132118386,0.093575946,0.177297756,0.163447338,0.440266116,0.468678169,0.506712189,0.18626801,0.111737875,0.203162281,0.402050088,0.132299116,0.33271606,0.470081523,0.463922167,0.552721676,0.215290447,0.171007702,0.404729683,0.268500623,0.149092439,0.278687048,0.206876231,0.240072194,0.310714067,0.561608922,0.459346808,0.629631267,0.314571579,0.235168129,0.071933847,0.445110013,0.443352233,0.60325397,0.053393637,0.052837429,0.16794508,0.459994057,0.272905605,0.206269893,0.387900957,0.236972674,0.394773046,0.240547651,0.269984576,0.181925101,0.184833628,0.373603954,0.707808946,0.199619664,0.316931123,0.22511297,0.354139156,0.38152336,0.459436503,0.381210174,0.232085855,0.289647739,0.292422084,0.278887795,0.635348717,0.346942215,0.231209039,0.150780886,0.087735231,0.149408729,0.182309486,0.17302757,0.131067604,0.114359366,0.148101465,0.09911456,0.363077482,0.482426774,0.555701304,0.335702067,0.138964642,0.156548671,0.386332955,0.284124895,0.606761657,0.420064097,0.403069053,0.367298568,0.173409884,0.307631127,0.51563116,0.330631488,0.124806952,0.217437679,0.222962515,0.175980334,0.411573176,0.501882128,0.308947302,0.651095058,0.279121428,0.357450971,0.173791984,0.354060506,0.460027351,0.429249975,0.643259597,0.243141138,0.148325453,0.144949586,0.488813039,0.148926786,0.258631113,0.311554582,0.18703095,0.682754081,0.532586277,0.360692478,0.625359027,0.391068476,0.168035691,0.239753551,0.25513539,0.346486727,0.240447314,0.519657536,0.127325189,0.219844709,0.078035881,0.064105341,0.31540762,0.157697289,0.17904699,0.524687077,0.087302166,0.201638343,0.161263768,0.175228791,0.067642121,0.156744005,0.186001169,0.220035937,0.304540338,0.259853506,0.233690832,0.343635885,0.357143371,0.371710509,0.30727426,0.305065361,0.253337334,0.290428767,0.368877408,0.34986203,0.472707837,0,0,
First Love,Utada Hikaru,Cakewalk,Melody,Vocal_CollageJazz_100_D_001.wav,0,0.196336633,0.358465498,0.289224921,0.51047783,0.218202126,0.42103408,0.385665819,0.475763672,0.375664908,0.309558321,0.339935219,0.309119403,0.389399122,0.300243377,0.513721329,0.413678825,0.452819489,0.245509721,0.460767944,0.431105121,0.342450466,0.215631563,0.223872131,0.344005419,0.416886275,0.39963588,0.353318857,0.216370896,0.371741032,0.305791238,0.425278763,0.238690024,0.487838422,0.668328974,0.403337487,0.386079323,0.488716938,0.303897287,0.430408089,0.221687785,0.311467503,0.672647147,0.450650601,0.180159933,0.232037205,0.190736658,0.367724423,0.617400898,0.508144801,0.50607668,0.346854967,0.580394123,0.445069611,0.358465507,0.308115255,0.515856116,0.725138072,0.444467136,0.323658405,0.464746422,0.457735541,0.473332763,0.427352237,0.55567382,0.290913978,0.657020168,0.274308326,0.519450681,0.638613164,0.292432921,0.400362608,0.526592604,0.230116872,0.367124262,0.503514049,0.396591567,0.150410518,0.141546668,0.361772082,0.395201152,0.320436065,0.293968642,0.313943662,0.228319779,0.48758282,0.398526632,0.35630239,0.250622497,0.258711596,0.369233321,0.270583754,0.467296461,0.34139929,0.695081558,0.411798649,0.466943677,0.406672709,0.395267965,0.299302037,0.407245917,0.633578189,0.610472798,0.387220966,0.579263913,0.510782545,0.312152124,0.252057573,0.441558491,0.320215019,0.463073819,0.473349486,0.244947394,0.207168713,0.145174128,0.336916292,0.472520161,0.523393545,0.679664362,0.307484418,0.443564671,0.44391993,0.492772207,0.428041547,0.490664871,0.603255573,0.401660826,0.349450371,0.533239541,0.574473833,0.526122775,0.308089595,0.68302244,0.313106782,0.434994669,0.280339615,0.40607315,0.670474334,0.385811699,0.339378405,0.4833692,0.332281751,0.435831028,0.42284623,0.520894654,0.461596243,0.451864783,0.3648178,0.351478198,0.447046516,0.255837774,0.286083416,0.286544139,0.490470205,0.368601935,0.405326367,0.478243089,0.31530041,0.473113248,0.315484127,0.284715344,0.324975358,0.384720757,0.293620791,0.432425462,0.255421266,0.301221733,0.208677781,0.113938614,0.189146368,0.195220767,0.24054792,0.56497028,0.16494904,0.242688585,0.333812663,0.337281673,0.168270067,0.267814722,0.32694128,0.248148087,0.362199417,0.277019451,0.379169352,0.349191861,0.2539379,0.300019559,0.329161991,0.334372371,0.33612734,0.361105963,0.403569774,0.38940285,0.697542128,0,0,
First Love,Utada Hikaru,Cakewalk,Melody,Vocal_HipHop_83_001.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Love,Utada Hikaru,Cakewalk,Melody,Vocal_HipHop_83_003.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
First Love,Utada Hikaru,Cakewalk,Melody,Vocal_HipHop_83_B_002.wav,0,0.279677109,0.221436248,0.236408529,0.240847715,0.250231644,0.287431813,0.275962932,0.348101337,0.376525988,0.271167449,0.264048468,0.262005683,0.27717796,0.330844563,0.297070813,0.306816599,0.320232335,0.323682298,0.269986015,0.326282122,0.292626074,0.240149911,0.255371839,0.32430542,0.278079944,0.27147788,0.294957376,0.424020765,0.274209053,0.285391938,0.240872061,0.271308378,0.308443663,0.281476671,0.227310609,0.183511506,0.174639061,0.181371697,0.209619818,0.206855912,0.15439412,0.165946044,0.148130769,0.198675703,0.310861292,0.395258812,0.512064275,0.291854072,0.238512801,0.276138737,0.235698468,0.20210175,0.262056487,0.265307109,0.303661773,0.331379384,0.26658487,0.289801514,0.363248397,0.273617848,0.220657385,0.260174321,0.272726782,0.186022565,0.263530132,0.309178332,0.234530117,0.331159099,0.24240179,0.259560406,0.229040332,0.221956959,0.241329084,0.263421866,0.209737388,0.228078282,0.202008083,0.244710905,0.24255933,0.255752903,0.276998266,0.270680949,0.308420986,0.324143351,0.307865433,0.324798724,0.409330116,0.379402262,0.525721359,0.360487723,0.274050975,0.3332477,0.325262426,0.384833969,0.499052706,0.462231697,0.343791136,0.44627234,0.385185102,0.289814842,0.395383971,0.316605633,0.341163857,0.241187321,0.192387317,0.23386656,0.216097905,0.232062829,0.159196442,0.155055711,0.166629077,0.203848043,0.230073238,0.301107728,0.34501727,0.296704611,0.207150919,0.268079256,0.262504674,0.254908198,0.339115291,0.313336375,0.310476846,0.254187576,0.261887177,0.325694061,0.382951856,0.264120017,0.248574122,0.269349411,0.266554648,0.199737566,0.230907602,0.280853195,0.238648021,0.299576603,0.254795918,0.268643582,0.270911525,0.276775632,0.306268194,0.354801194,0.379149934,0.273359011,0.214428966,0.313565293,0.263054617,0.244246077,0.228376362,0.240654664,0.235534216,0.302243301,0.345430902,0.268026614,0.353801019,0.283586285,0.242375752,0.295843131,0.305894392,0.237634172,0.247356577,0.271104899,0.246689837,0.213969112,0.21081117,0.158671112,0.194028599,0.178439925,0.25077818,0.261339889,0.30273929,0.268236769,0.19247997,0.172665622,0.165709301,0.18668563,0.191680881,0.233137918,0.213642016,0.222960442,0.277038576,0.310188921,0.317039752,0.28803628,0.269263827,0.310285189,0.281472986,0.2776667,0.284978826,0.372393772,0,0,0,0,,
First Love,Utada Hikaru,Cakewalk,Melody,Vocal_House_130_G_001.wav,0,0.217452336,0.256736399,0.288709002,0.314428506,0.132437414,0.247570649,0.280830872,0.345249987,0.273219498,0.251311673,0.230314913,0.172440822,0.266847502,0.243137077,0.252851422,0.238476376,0.192722776,0.261627932,0.250593893,0.331184945,0.23328998,0.199593994,0.258926093,0.272236819,0.245192453,0.248246675,0.371259981,0.207442301,0.255062699,0.208446279,0.231954264,0.163538673,0.509158666,0.373958217,0.2368813,0.24674423,0.551430803,0.257226579,0.374814455,0.159150673,0.391094252,0.342685329,0.29868944,0.127569911,0.129387268,0.201860569,0.279589149,0.379913477,0.328127505,0.492716591,0.248089969,0.313893539,0.214775948,0.352209301,0.282382977,0.358445631,0.407112428,0.206558327,0.22736641,0.364568032,0.353201201,0.408410654,0.310577026,0.339013109,0.300894107,0.477165277,0.25964968,0.316022924,0.248095168,0.397850872,0.230854691,0.280380644,0.398920717,0.351221666,0.318193733,0.155370948,0.136743336,0.188473898,0.438331399,0.354285524,0.221449799,0.247962978,0.20857455,0.203031552,0.277429501,0.365037803,0.174828994,0.141175936,0.234842543,0.213177431,0.117799074,0.442534309,0.211374252,0.435414786,0.319257057,0.295576516,0.260307682,0.303095139,0.182919829,0.275493745,0.528677622,0.306850734,0.308275305,0.255980551,0.334085521,0.194329763,0.546819933,0.284777386,0.490235329,0.554506126,0.415822442,0.164476288,0.093321047,0.192616739,0.355265855,0.366540193,0.295826765,0.379600025,0.222432567,0.279797204,0.273382665,0.353379976,0.322297384,0.337556634,0.378643398,0.261754576,0.286341986,0.389277977,0.382588565,0.32649851,0.279855301,0.511420849,0.324566444,0.470934866,0.181227649,0.272073715,0.555381863,0.306224678,0.305990913,0.300913564,0.440439109,0.426674397,0.372165046,0.35117626,0.335198568,0.410646971,0.312001589,0.341570736,0.274035937,0.29609519,0.188972226,0.307063947,0.489269897,0.243016213,0.324984348,0.292739382,0.325558088,0.248305661,0.196707326,0.252144212,0.373467278,0.282636676,0.237707435,0.273552365,0.322616012,0.201788483,0.202989324,0.15385308,0.170621049,0.184029935,0.340035298,0.193084067,0.23079239,0.206298308,0.249423944,0.153454057,0.226399869,0.257539533,0.213958554,0.238271109,0.277878551,0.223553607,0.230717708,0.242362482,0.280069083,0.321583531,0.30906394,0.330192694,0.311226998,0.355495172,0.398366652,0.440598529,0,0,,
