result1,result2,result3,result4,result5,result6,result7,result8,result9,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147,result148,result149,result150,result151,result152,result153,result154,result155,result156,result157,result158,result159,result160,result161,result162,result163,result164,result165,result166,result167,result168,result169,result170,result171,result172,result173,result174,result175,result176,result177,result178,result179,result180,result181,result182,result183,result184,result185,result186,result187,result188,result189,result190,result191,result192,result193,result194,result195,result196,result197,result198,result199,result200,result201,result202,result203
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatFunk1_105_001.wav,0.963622338,0.976776312,0.949685037,0.96119338,0.955161668,0.947577725,0.953095166,0.965081494,0.915606353,0.862676233,0.840349563,0.851945829,0.856808764,0.858249676,0.846748061,0.937272256,0.926360908,0.870942525,0.837687249,0.850461855,0.859850887,0.865595116,0.859154246,0.914548223,0.871112348,0.838010504,0.862202096,0.843476731,0.821117457,0.821629884,0.858132912,0.867719621,0.855007788,0.836520722,0.868115346,0.855349954,0.828132594,0.859595466,0.934000684,0.954655092,0.899212086,0.860090581,0.845221819,0.835500694,0.852511206,0.868987942,0.864197452,0.9137987,0.946414364,0.886405886,0.854148275,0.865164239,0.88212688,0.902660858,0.932998726,0.9686755,0.916437241,0.849928838,0.814749608,0.81566944,0.818956963,0.827815654,0.832773756,0.911159907,0.896444341,0.844173937,0.824647256,0.823003131,0.823547628,0.854536404,0.889057977,0.903109997,0.863286019,0.819933723,0.807931711,0.820062048,0.843776524,0.839865276,0.787200923,0.895144649,0.898794911,0.870639238,0.865234649,0.885788973,0.873876729,0.877470615,0.946506685,0.954392911,0.922501437,0.875276996,0.853780685,0.849936445,0.841366525,0.854431791,0.844782556,0.907758441,0.88846018,0.853775802,0.871492023,0.880658582,0.894090685,0.919108784,0.927418893,0.961149206,0.964406871,0.970725182,0.977463363,0.967139303,0.962468554,0.965894581,0.933945745,0.962530399,0.963175398,0.948327485,0.943888785,0.978119075,0.954913334,0.96929617,0.966223095,0.972754325,0.946261369,0.953112939,0.97613554,0.946748794,0.946679972,0.893380603,0.904452533,0.959658528,0.94450726,0.967762922,0.936820375,0.905284519,0.884336009,0.872122177,0.88655928,0.90559407,0.894610778,0.909346438,0.948377167,0.90240385,0.875502141,0.89700202,0.913964019,0.921628441,0.948670144,0.960145473,0.95484646,0.910829464,0.883556448,0.884241253,0.879719272,0.876373793,0.903739773,0.937939434,0.91787956,0.886616267,0.894841691,0.928701904,0.942978561,0.943365935,0.946817041,0.958347232,0.978353763,0.969912726,0.9583962,0.975598676,0.966304165,0.965708201,0.960672853,0.970201577,0.964621181,0.961674162,0.957048882,0.969855116,0.960951839,0.958324804,0.953731831,0.964693512,0.967430162,0.963948036,0.967107114,0.958403262,0.966650352,0.971187899,0.950428627,0.982065758,0.956295108,0.966703953,0.964704768,0.95783284,0.959469253,0.955212958,0.955016787,0.950021395,0,,,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatFunk1_105_Fill_001.wav,0.981608455,0.988024559,0.992806141,0.984648701,0.984881146,0.985290607,0.982644301,0.988416682,0.989531,0.836675975,0.714239372,0.749241794,0.709822378,0.822193537,0.684616378,0.781137249,0.981109085,0.867120285,0.707757624,0.746982283,0.711175638,0.81072075,0.723530211,0.795000533,0.978837669,0.687560896,0.719491367,0.77956685,0.736193989,0.659148745,0.728820605,0.722961758,0.843673934,0.723726306,0.68496312,0.904588159,0.665286797,0.708653048,0.840504848,0.98280438,0.97657837,0.772423187,0.760437451,0.743785796,0.705958575,0.753259053,0.824823554,0.735301002,0.973138595,0.940407499,0.748215242,0.731529247,0.80053431,0.794584891,0.82071938,0.925987025,0.963667126,0.844158694,0.688359968,0.701370899,0.701684851,0.691615899,0.734876304,0.718052213,0.978629613,0.796169401,0.699248451,0.740830958,0.683496033,0.72409519,0.731640568,0.821388968,0.893826583,0.719913664,0.691222141,0.730826267,0.636579883,0.890155662,0.656485071,0.676730704,0.979925388,0.799446815,0.749842227,0.78322187,0.806920207,0.767612513,0.80975612,0.962609213,0.937405112,0.855688467,0.736903452,0.786890708,0.715619913,0.744132701,0.771671868,0.731907989,0.972890858,0.747129521,0.749406556,0.788421091,0.813430039,0.779524627,0.88373754,0.893121188,0.972821449,0.96363551,0.97800374,0.977188609,0.955951446,0.927763953,0.942212082,0.88916797,0.991562944,0.954656588,0.882635176,0.95730439,0.98623254,0.939938914,0.98264055,0.949392758,0.961881207,0.886390097,0.949016557,0.978060057,0.888627801,0.947399416,0.781178136,0.992695336,0.985784363,0.963610646,0.980281989,0.867638309,0.819550049,0.80705909,0.757468272,0.786678301,0.900907801,0.7271104,0.916548723,0.939455524,0.785007668,0.737957168,0.882350603,0.807633986,0.862287817,0.912254316,0.949641633,0.935046595,0.778269293,0.807648427,0.789162496,0.794251679,0.749365935,0.862665682,0.904475424,0.842303859,0.775450198,0.800620505,0.936011521,0.846688624,0.917211616,0.938543508,0.979698803,0.988537297,0.959603201,0.947744925,0.990783411,0.971651921,0.974032573,0.98556248,0.990893806,0.967405821,0.972383768,0.97901391,0.989893219,0.969802122,0.979672224,0.985759682,0.987607873,0.986696156,0.9669707,0.975123904,0.97665715,0.977637445,0.97644472,0.969036398,0.992590004,0.961195907,0.980461509,0.978483898,0.988204903,0.99377306,0.991942351,0.984323436,0.980219359,0.943468163,0,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatFunk2_95_001.wav,0.925935818,0.921104518,0.886518283,0.928739679,0.849320258,0.888700776,0.889196563,0.850581598,0.872674182,0.941319088,0.915259339,0.92451607,0.915379898,0.949171376,0.904195703,0.942504716,0.893597832,0.945106223,0.915597707,0.935181447,0.910816115,0.941803675,0.920106,0.933151452,0.883866234,0.89146302,0.913597433,0.95306035,0.948761423,0.884727493,0.917863308,0.921235589,0.972979093,0.907019804,0.894146818,0.938136588,0.896586312,0.911917714,0.938467323,0.856869004,0.879214301,0.918247627,0.920038144,0.923964033,0.902691885,0.911860774,0.948506683,0.904728078,0.887052829,0.9070889,0.922325361,0.91382509,0.937655166,0.9232404,0.925583474,0.960099224,0.935307378,0.957605704,0.899817296,0.901735529,0.904390774,0.89860182,0.913182425,0.910540444,0.872310132,0.931333575,0.897957973,0.912777595,0.895528518,0.906724643,0.913564356,0.966266604,0.974987393,0.898171106,0.886965468,0.908917445,0.864494164,0.93055728,0.877139315,0.887142334,0.830433107,0.919997922,0.913372516,0.950502684,0.934500418,0.956932513,0.926049822,0.90473972,0.967177307,0.927209692,0.909400625,0.926470003,0.907184105,0.918394793,0.914102022,0.912772383,0.869994595,0.918156274,0.914724182,0.922557388,0.937405141,0.920093218,0.962731384,0.97099247,0.896355925,0.932616413,0.919217013,0.919362249,0.944182701,0.92906887,0.941540056,0.967407675,0.879326772,0.927693866,0.941138557,0.9408452,0.892360076,0.949040369,0.9005606,0.926106491,0.93856918,0.972982804,0.934742529,0.937969046,0.975580965,0.922264397,0.923720097,0.856678514,0.822137717,0.910879077,0.883029141,0.940165249,0.939666234,0.930695263,0.915286424,0.931642024,0.973897568,0.923140599,0.943945991,0.938908827,0.933491394,0.919057107,0.959700104,0.940171985,0.94561331,0.963350537,0.962262179,0.936451277,0.933125341,0.944173189,0.934254057,0.930303004,0.935380949,0.949173781,0.951687218,0.950286336,0.925420902,0.92654846,0.961110864,0.939804299,0.963371809,0.961760912,0.89908359,0.891892134,0.94996794,0.934741833,0.89647419,0.939766177,0.909602926,0.901345127,0.883912728,0.915648205,0.917377711,0.899784951,0.87437113,0.920396694,0.907259382,0.884599226,0.860536335,0.90722269,0.924119379,0.905746459,0.914629223,0.884854218,0.911655938,0.935936635,0.855400687,0.955063513,0.90129493,0.899826743,0.900269864,0.872355992,0.874172451,0.874586967,0.880529829,0.875694846,0,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatFunk2_95_Fill_001.wav,0.843782104,0.82977218,0.775651846,0.845577411,0.725454911,0.78248915,0.78315189,0.727036609,0.758295136,0.907302309,0.923077238,0.919553008,0.925236235,0.926681493,0.920337706,0.932434332,0.787192593,0.900421255,0.92685185,0.936098656,0.916878188,0.918098794,0.924556659,0.911985625,0.774046186,0.898814759,0.914050831,0.949804717,0.972703675,0.903291498,0.916599373,0.92714162,0.968451761,0.90723427,0.904570358,0.878911482,0.915647319,0.919858308,0.899529326,0.731507163,0.768013604,0.899495384,0.910419387,0.919126718,0.907759357,0.897564156,0.926825468,0.895265861,0.779936055,0.818659843,0.914871581,0.911399637,0.917935177,0.894951275,0.887380536,0.89800641,0.853885604,0.927777019,0.910816805,0.90876051,0.913433673,0.908186412,0.910750296,0.914751337,0.759263027,0.910266332,0.904184297,0.909269985,0.908249324,0.906585038,0.910559257,0.960759336,0.949208803,0.893399263,0.89309279,0.904022252,0.885464042,0.870914842,0.892029725,0.898218881,0.699846687,0.891087793,0.904560212,0.965087337,0.908715917,0.976258578,0.897495695,0.805003946,0.912137875,0.872958908,0.90223126,0.904800654,0.906799304,0.910496793,0.892666804,0.910158349,0.755565462,0.909714967,0.902545982,0.896473525,0.912224503,0.895049266,0.923988808,0.929964527,0.79371138,0.843482281,0.823237613,0.823102324,0.865835973,0.850108763,0.863843384,0.921688983,0.769721906,0.845927348,0.883279803,0.859825897,0.783952834,0.877038484,0.795683433,0.842356306,0.863913358,0.946216603,0.869337667,0.858672566,0.94252866,0.832720827,0.904746244,0.734840435,0.688375137,0.815329277,0.774421333,0.89014823,0.911968378,0.90332516,0.902026093,0.90930919,0.937245299,0.928603858,0.879808458,0.865663022,0.917068041,0.914325902,0.917284561,0.910951209,0.896775183,0.908070148,0.901735407,0.859041884,0.917787403,0.920769539,0.914154446,0.908849976,0.933737563,0.903773989,0.89403071,0.917425084,0.907153548,0.893743538,0.90047064,0.893640831,0.914257954,0.903563258,0.796599776,0.78308001,0.869691057,0.853658396,0.789097177,0.856281898,0.810014306,0.797230109,0.772531572,0.821690029,0.820743749,0.794890788,0.758556483,0.831680506,0.806503644,0.771720072,0.741003553,0.805997696,0.833027889,0.804439436,0.817031358,0.773648535,0.812442838,0.848695978,0.734018164,0.882925506,0.79566671,0.792676178,0.794013939,0.756930321,0.760050569,0.76019631,0.772350538,0.78134449,0,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatPop_100_001.wav,0.927076184,0.909411234,0.925311446,0.888075454,0.891810694,0.902614507,0.883137059,0.88494461,0.942711672,0.931732903,0.901058587,0.909539968,0.907842334,0.925366778,0.899684299,0.886551025,0.948513316,0.938944099,0.905718749,0.909483306,0.905392679,0.929564755,0.907512873,0.887853539,0.933775159,0.8866103,0.918237728,0.934859369,0.890080573,0.879540763,0.906590918,0.91601818,0.921265158,0.889208863,0.887847007,0.938971189,0.882399542,0.900722776,0.879104998,0.893389477,0.937433176,0.913051179,0.913349024,0.902552627,0.888534879,0.914555734,0.921057338,0.865994917,0.923813125,0.948645993,0.90776286,0.909806092,0.92309115,0.917951802,0.933562893,0.94255498,0.962318799,0.929569092,0.883607679,0.887142296,0.885409079,0.887620887,0.899740596,0.852712688,0.940396987,0.91240041,0.887678789,0.894133554,0.881098285,0.896904406,0.917477591,0.937829123,0.92961474,0.883549526,0.881821937,0.879166215,0.86527313,0.924192886,0.863439305,0.816879439,0.924299269,0.915448544,0.91139534,0.911376599,0.938679134,0.907992282,0.896729504,0.957966103,0.9518679,0.930528396,0.905315745,0.915070763,0.899461634,0.903317576,0.909418718,0.856210454,0.936746964,0.905930925,0.906935407,0.924036245,0.924801403,0.928898846,0.960347814,0.915334275,0.93205902,0.935484698,0.933735228,0.949428553,0.947641361,0.946848795,0.969776964,0.906626841,0.927383324,0.951600243,0.939481401,0.921320046,0.947091592,0.925283365,0.935682746,0.937293189,0.954270761,0.916705344,0.922953551,0.962857349,0.919282313,0.941786586,0.859899711,0.861204354,0.903455472,0.908542272,0.942579645,0.945121285,0.930541911,0.920985033,0.914651238,0.937626996,0.950325276,0.903453779,0.94612597,0.957128443,0.920129371,0.920554942,0.954579416,0.933796755,0.950470292,0.958303904,0.94872623,0.955822939,0.929105814,0.934425577,0.924188546,0.928227151,0.919906737,0.946321782,0.958417962,0.937133264,0.916343553,0.932729787,0.961254841,0.946170956,0.954083351,0.920426259,0.909094353,0.944573023,0.950680407,0.919049981,0.938023657,0.931194965,0.918769402,0.906972045,0.923236162,0.930950702,0.92221265,0.902645918,0.922173554,0.923113397,0.908973766,0.890029347,0.907966026,0.933049231,0.926365738,0.927518292,0.91342742,0.920760398,0.94128998,0.899179891,0.934635334,0.926252161,0.918513727,0.917685365,0.89903637,0.891481542,0.895068668,0.898175919,0.898033272,0,,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatPop_100_Fill_001.wav,0.842188885,0.828655056,0.793277977,0.836136447,0.747865068,0.792777919,0.798989877,0.752462751,0.773754071,0.929098037,0.93714152,0.938357033,0.938893331,0.93998233,0.933958654,0.949462437,0.807299964,0.920787997,0.938928578,0.951654816,0.93447603,0.939507122,0.941433366,0.936300932,0.808610906,0.92000659,0.93759534,0.961349205,0.950123212,0.919592587,0.939062089,0.941528162,0.930234502,0.92527879,0.923885887,0.905225034,0.931990043,0.936268707,0.925278372,0.762755981,0.792103581,0.926040881,0.929133276,0.941471215,0.926168774,0.920472826,0.932690099,0.922426786,0.805424759,0.858038664,0.938162352,0.932441445,0.937483703,0.925433418,0.914501398,0.914154858,0.861528335,0.938979754,0.930243696,0.926809525,0.928036315,0.927477449,0.928839623,0.930541891,0.78365555,0.930776625,0.923347314,0.925174731,0.924059906,0.925288712,0.932446685,0.942047953,0.917420016,0.919970557,0.912626361,0.92773974,0.902471473,0.902190654,0.911155549,0.917560419,0.73599295,0.917395618,0.924317065,0.921195262,0.934670089,0.944614189,0.918610054,0.834645025,0.915282326,0.90817192,0.927315754,0.93006971,0.932235742,0.935291055,0.920150802,0.92890264,0.784618966,0.93407414,0.928206461,0.924917885,0.933585408,0.92513031,0.930912049,0.937799924,0.811565237,0.867126444,0.844346321,0.845221087,0.884637215,0.883413687,0.890287301,0.940666534,0.782763649,0.863218561,0.915598995,0.881487815,0.807657438,0.898185382,0.819828619,0.866722336,0.852173425,0.911317827,0.837729402,0.850488378,0.920930174,0.842469582,0.925407524,0.755288738,0.718442682,0.843583522,0.794880705,0.916363834,0.934156086,0.926568527,0.927558984,0.938106458,0.932656076,0.941079053,0.901119756,0.890273142,0.936737994,0.93740625,0.93743851,0.940802344,0.923272866,0.923113276,0.901228588,0.883964137,0.940872877,0.945878111,0.939326114,0.929615039,0.949862909,0.929293834,0.91522909,0.937347049,0.93232332,0.925286618,0.915608046,0.928242433,0.915295169,0.902396646,0.814898961,0.802555078,0.88850638,0.879410192,0.805935387,0.868750664,0.833354218,0.816038382,0.792074665,0.845903131,0.846205596,0.820468867,0.782126867,0.845976808,0.827412614,0.795145786,0.764269532,0.821294351,0.855245828,0.830720482,0.839574773,0.803897552,0.835680044,0.867710433,0.755481532,0.885596984,0.8208969,0.821211953,0.814587599,0.770033221,0.778222854,0.785077689,0.791584986,0.801669295,0,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatRock_135_001.wav,0.991285906,0.990037213,0.97857866,0.992878469,0.955989926,0.973248504,0.972701448,0.959767027,0.969142941,0.907920754,0.8231759,0.847944971,0.820874729,0.903190253,0.800860195,0.875575248,0.97318485,0.9276343,0.81986904,0.851779516,0.819330811,0.892832586,0.830994794,0.879594832,0.969740321,0.796480986,0.825071524,0.879718912,0.852307305,0.776864819,0.832616318,0.830951265,0.927223588,0.825355792,0.796269447,0.949151123,0.785526108,0.818605834,0.908497495,0.958244485,0.963716433,0.85888391,0.853103208,0.844461542,0.812479301,0.84340285,0.903991702,0.830860646,0.965563924,0.957195939,0.846131053,0.832658871,0.88524296,0.874309275,0.889704755,0.969281455,0.981111452,0.918866023,0.801099369,0.809652333,0.811083239,0.80256593,0.83475142,0.823409302,0.962502829,0.879407868,0.806644143,0.838229829,0.796155609,0.825624874,0.832542858,0.910242517,0.958257239,0.818898056,0.796977826,0.830126349,0.754889739,0.936587487,0.771040864,0.788427282,0.946138258,0.875755493,0.843687811,0.881587199,0.887622772,0.875688401,0.884877731,0.966507391,0.981881963,0.911335579,0.833850295,0.871037812,0.819976331,0.84190641,0.856433602,0.832011073,0.957401054,0.843782987,0.842841096,0.869596223,0.89312906,0.862399148,0.946443987,0.955300775,0.968219796,0.979484969,0.983401042,0.982995972,0.981045013,0.956715762,0.970898452,0.951096186,0.974974401,0.973421695,0.934882627,0.980415738,0.976855988,0.973564877,0.978275054,0.969532995,0.981758958,0.950390613,0.971319432,0.991068039,0.952015598,0.961045656,0.866263819,0.964942375,0.945807717,0.971118412,0.968248142,0.924714012,0.897080049,0.885149265,0.849079258,0.872522821,0.962257827,0.834119268,0.956897564,0.970562307,0.873243647,0.838439655,0.945314147,0.888385007,0.922641794,0.962635197,0.986982295,0.96365296,0.869077338,0.891840922,0.875839574,0.877443185,0.852205548,0.925555609,0.952745123,0.915127034,0.863355569,0.877621903,0.978846179,0.911711111,0.967315227,0.978833508,0.975191917,0.977639959,0.984678536,0.971970772,0.980916328,0.988925903,0.976044772,0.980086037,0.975875163,0.975417699,0.978876475,0.975174842,0.971256872,0.978820045,0.978955702,0.971746411,0.963383576,0.983500577,0.978318974,0.975671463,0.980505454,0.967713126,0.978942535,0.985212007,0.964872748,0.988815884,0.976255189,0.974075406,0.981095036,0.971984262,0.972541978,0.967419041,0.967698316,0.943472313,0,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatRock_135_Fill_001.wav,0.990311388,0.98807081,0.967999664,0.992705337,0.942217763,0.966196648,0.963159749,0.946083309,0.957972249,0.900596467,0.820187868,0.842525406,0.81794736,0.898514364,0.798359683,0.870849526,0.960997197,0.919357499,0.817147811,0.848182113,0.814837359,0.885600438,0.827293767,0.872317426,0.955731435,0.790536184,0.818375395,0.87782853,0.861341529,0.773382372,0.826603377,0.827406903,0.938531622,0.8200832,0.791543604,0.941062913,0.781872513,0.814335639,0.899233082,0.943006201,0.950127466,0.849910925,0.847861928,0.838465018,0.807607797,0.835172043,0.901933455,0.822409855,0.952179818,0.941421343,0.839337708,0.826458739,0.879855192,0.863826678,0.878118522,0.962510298,0.97474817,0.913437129,0.796172865,0.804912273,0.807372334,0.797689592,0.829150381,0.819673837,0.94888273,0.872520345,0.801176658,0.833707009,0.792387401,0.820313998,0.826018485,0.915226083,0.966693402,0.810898728,0.791624431,0.823120876,0.750626776,0.926472843,0.765277475,0.78306717,0.930647135,0.866314016,0.837244743,0.895225359,0.878900631,0.887459432,0.877122078,0.952471638,0.983114744,0.897957092,0.826241794,0.862703218,0.812471251,0.834656637,0.847110215,0.826231911,0.942427632,0.836398012,0.834609503,0.85983809,0.886387346,0.851367716,0.943586212,0.953151399,0.956847401,0.968117498,0.972730044,0.972292815,0.972743353,0.942645158,0.959663039,0.943732984,0.967270274,0.964726093,0.922550083,0.970182,0.964573253,0.964746156,0.966298921,0.957928066,0.978506016,0.957746935,0.9757603,0.992125849,0.956566373,0.949658776,0.859216373,0.952784231,0.929862453,0.957992207,0.957808143,0.914416062,0.889918508,0.876794008,0.840847161,0.86314501,0.964374311,0.831309461,0.948035993,0.961053267,0.866693452,0.831858174,0.939149976,0.877710627,0.910540791,0.956482425,0.988491371,0.951957551,0.861799466,0.883964561,0.867749094,0.87084268,0.848017014,0.915434996,0.943991996,0.908514187,0.855044428,0.866051685,0.973929044,0.899034908,0.965946143,0.979390324,0.964998808,0.966466997,0.976193088,0.96068117,0.970999428,0.981359568,0.963386104,0.96903134,0.965324001,0.963459066,0.966901724,0.962967561,0.959269704,0.973235719,0.96841784,0.958624299,0.950918384,0.974569966,0.967457366,0.962971836,0.969342974,0.952151286,0.96706581,0.97588368,0.953338127,0.983737755,0.963948602,0.960402783,0.969757844,0.961813638,0.962549375,0.955752554,0.957576724,0.93439798,0,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatShuffle1_90_001.wav,0.957140594,0.956374592,0.944898334,0.934634426,0.936135862,0.931826028,0.927204965,0.936997601,0.933637443,0.907277562,0.878762893,0.900066168,0.88479769,0.907957975,0.892726018,0.920579308,0.938381602,0.916041962,0.879564617,0.897174236,0.88901003,0.910965852,0.900781817,0.893800524,0.913898442,0.881180237,0.900093537,0.891389013,0.870303506,0.862983058,0.90254774,0.898616326,0.893031245,0.890012274,0.876575852,0.906663974,0.876891961,0.89104003,0.910784252,0.927040026,0.92788527,0.896005878,0.88456555,0.879330867,0.88826611,0.896008022,0.909176469,0.902513218,0.936951175,0.924637681,0.896250547,0.898361437,0.91208845,0.928007825,0.94450585,0.961287643,0.936585152,0.894667566,0.859536583,0.860797214,0.865826523,0.868108831,0.88567292,0.888798265,0.922023505,0.888807588,0.862955094,0.87072984,0.865045139,0.895493106,0.924856287,0.921844519,0.899498675,0.864448315,0.84616759,0.877085747,0.853152906,0.887268619,0.845685014,0.86364012,0.921937961,0.905658668,0.90743334,0.912167664,0.921566246,0.911214636,0.937520857,0.962919272,0.935992803,0.912290274,0.884266264,0.891507373,0.880695663,0.884405688,0.892950411,0.883165959,0.92179076,0.890722824,0.901571109,0.908639804,0.927573988,0.940093013,0.952876422,0.947980244,0.959198211,0.962002259,0.967990599,0.967853641,0.965584697,0.966348111,0.958889098,0.944470389,0.958912027,0.9643785,0.947688948,0.960847046,0.962455989,0.955697649,0.963019843,0.964812055,0.962811428,0.949606515,0.960906025,0.963421527,0.929486761,0.926206903,0.884361533,0.926175465,0.937398108,0.946667751,0.9503082,0.932502688,0.912484542,0.907554207,0.921767626,0.922505399,0.943275978,0.922983183,0.949335836,0.934808893,0.919264929,0.917267656,0.944947374,0.94007998,0.962657248,0.968543271,0.95348921,0.943411771,0.914687251,0.917358707,0.908745309,0.919315694,0.925589964,0.948649191,0.941083152,0.919306286,0.925618708,0.93663349,0.966892868,0.958677423,0.960568233,0.94714207,0.958285342,0.969207543,0.960375323,0.958922882,0.963345153,0.956551155,0.947548873,0.950729542,0.957457443,0.954959495,0.945692035,0.948587175,0.95535734,0.948366512,0.936408563,0.939815278,0.952962844,0.95896479,0.956368019,0.95034045,0.950158238,0.95962794,0.9500397,0.954172027,0.959813365,0.952725325,0.950275009,0.943127484,0.938001393,0.934215569,0.936030255,0.932935285,0,,,
MarunouchiSadistic,ShenaRingo,Cakewalk,Rhythm,Drum_16beatShuffle1_90_Fill_001.wav,0.988685098,0.984821575,0.980016159,0.985192525,0.958521522,0.971495535,0.973564739,0.963567961,0.969408789,0.915962787,0.830474519,0.856352724,0.82820557,0.908769614,0.808401965,0.883212366,0.975859481,0.934400282,0.826629239,0.859296952,0.828034327,0.901359045,0.83903256,0.889567207,0.979532075,0.806470047,0.835314344,0.885945453,0.845676246,0.785712129,0.842332791,0.83818925,0.912281665,0.83394939,0.80587622,0.95886725,0.794093,0.827090488,0.917470198,0.96301945,0.967547019,0.86993266,0.861465728,0.854035869,0.821387408,0.852401631,0.905911689,0.842481422,0.970295399,0.970905507,0.855914159,0.84209802,0.893683883,0.885658621,0.898937349,0.973055956,0.980275826,0.922605632,0.810841061,0.818597186,0.818750146,0.812202993,0.843240174,0.83126217,0.966724304,0.887708898,0.815981003,0.845859377,0.804494183,0.834470787,0.842290027,0.903052213,0.944734372,0.830459267,0.806796612,0.840226877,0.764186658,0.947236636,0.780624147,0.797866912,0.953856276,0.885796453,0.852323588,0.865732874,0.898143874,0.865423349,0.893129849,0.97312172,0.982196176,0.922616471,0.844763149,0.881000294,0.831282186,0.852158863,0.866735269,0.840407041,0.962986147,0.854120902,0.853318344,0.880042722,0.90191098,0.873602224,0.948768618,0.957182207,0.969728327,0.984359326,0.987314612,0.9872895,0.985231966,0.966512792,0.978126759,0.957172778,0.97512278,0.977207731,0.944854884,0.985738007,0.981186789,0.978620699,0.98310685,0.975782136,0.972256809,0.93390767,0.953420741,0.983698293,0.939977912,0.956953037,0.874452959,0.96702061,0.950837851,0.978192343,0.971038622,0.933249499,0.905960893,0.89421263,0.859793014,0.883637357,0.960151781,0.840597349,0.963035368,0.978754846,0.881317706,0.84817595,0.953582464,0.899253479,0.930904693,0.966132151,0.985124066,0.969686266,0.878544274,0.901684694,0.885824614,0.885497912,0.859366239,0.93400183,0.958923688,0.922418727,0.873288962,0.888148517,0.983939723,0.923256015,0.966662136,0.975571517,0.977296051,0.980023794,0.987780277,0.978625185,0.982021418,0.990137357,0.980541615,0.982506607,0.978270215,0.980928099,0.984415129,0.98040945,0.97499408,0.98076604,0.982233435,0.975228956,0.966546612,0.9846875,0.982931718,0.981262306,0.984924532,0.974368053,0.983438247,0.988629196,0.967588295,0.986688404,0.980747038,0.979760033,0.984218575,0.970951043,0.974310151,0.971540042,0.970170679,0.947561239,0,
