result1,result2,result3,result4,result5,result6,result7,result8,result9,result10,result11,result12,result13,result14,result15,result16,result17,result18,result19,result20,result21,result22,result23,result24,result25,result26,result27,result28,result29,result30,result31,result32,result33,result34,result35,result36,result37,result38,result39,result40,result41,result42,result43,result44,result45,result46,result47,result48,result49,result50,result51,result52,result53,result54,result55,result56,result57,result58,result59,result60,result61,result62,result63,result64,result65,result66,result67,result68,result69,result70,result71,result72,result73,result74,result75,result76,result77,result78,result79,result80,result81,result82,result83,result84,result85,result86,result87,result88,result89,result90,result91,result92,result93,result94,result95,result96,result97,result98,result99,result100,result101,result102,result103,result104,result105,result106,result107,result108,result109,result110,result111,result112,result113,result114,result115,result116,result117,result118,result119,result120,result121,result122,result123,result124,result125,result126,result127,result128,result129,result130,result131,result132,result133,result134,result135,result136,result137,result138,result139,result140,result141,result142,result143,result144,result145,result146,result147,result148,result149,result150,result151,result152,result153,result154,result155,result156,result157,result158,result159,result160,result161,result162,result163,result164,result165,result166,result167,result168,result169,result170,result171,result172,result173,result174,result175,result176,result177,result178,result179,result180,result181,result182,result183,result184,result185,result186,result187,result188,result189,result190,result191,result192,result193,result194,result195,result196,result197,result198,result199,result200
Gershwin,Rhapsody in Blue,Cakewalk,Melody,VocalFx_House_001.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,VocalFx_House_002.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,VocalFx_House_003.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,VocalFx_House_004.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,Vocal_16BeatPops_146_E.001.wav,0.783258178159241,0.799018041263985,0.733220537365781,0.809562592315473,0.928905339789537,0.878342250771054,0.753196472774417,0.882650275950901,0.770607235750988,0.936150905090404,0.926188315783541,0.908475795888248,0.922985093636886,0.920667839678737,0.877346744287302,0.72659540332802,0.791097744678882,0.893710995809548,0.728686759020102,0.769231286822616,0.626268800494389,0.938460100401628,0.913778460063992,0.960896643994651,0.967888604226503,0.984001201659704,0.965197687986074,0.992383654799051,0.984576103800127,0.983389475306081,0.98507693376344,0.926876615630047,0.914022429352043,0.938783156665648,0.965507770966557,0.982657264109031,0.965363332979436,0.974888291663616,0.978460337811536,0.977811444866568,0.965609913058233,0.972109880625475,0.978379632053448,0.980227168775831,0.967425161994401,0.976693247582218,0.969687771657721,0.979655137177192,0.971664148447379,0.94492600684496,0.977746010987857,0.898667089171085,0.954329117609131,0.969831617762555,0.984275182662266,0.986299959494095,0.967620477876967,0.985952296206326,0.989441213807585,0.984788062309913,0.954563370634542,0.971441781149153,0.926228898110857,0.878005930671121,0.904224486652397,0.914561300132617,0.886558959543992,0.888972688730943,0.807544537469007,0.757222558183266,0.819741122117305,0.986065075709867,0.979646773630626,0.953806473990787,0.941404152099189,0.983391711423561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,Vocal_CollageJazz_100_D_001.wav,0.667279473984443,0.708433978093821,0.657158687337887,0.736414920330089,0.842856967166202,0.771114338206226,0.675486190043306,0.79267228246798,0.708886579630507,0.846897118352548,0.850250812886965,0.839180248507829,0.851031208749103,0.841399542984389,0.800244964516576,0.620037474658033,0.675790335591535,0.796327801237567,0.672979981357555,0.663235428316118,0.483646051917216,0.893075064294949,0.872689902184917,0.910358325771646,0.902728792256124,0.950433045429802,0.904543251965981,0.961353008616304,0.950495429683853,0.940154747188798,0.949330085658601,0.843859077881451,0.873258253632246,0.892705589762279,0.916301293795666,0.938276264096651,0.921959337059668,0.932947544270035,0.943226074362959,0.938976717680364,0.932428473732849,0.975666596138866,0.93391605938073,0.939788223764396,0.904368799249913,0.938506120787856,0.925149615952779,0.932711911311005,0.914760439259236,0.907184527836953,0.914109872526809,0.843632728853766,0.88893159770834,0.920138278579695,0.960787142193767,0.972409521139385,0.907592502219051,0.95698800321826,0.95938351194994,0.947540218697732,0.910180929564758,0.941277480986095,0.880846147640618,0.845498459636301,0.878491897173882,0.871368534440626,0.868583902180877,0.878170392515148,0.782715556140559,0.697230629727986,0.718837993675626,0.959457114313652,0.92145806762788,0.890396401765044,0.915550152315065,0.968102982808609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,Vocal_HipHop_83_001.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,Vocal_HipHop_83_003.wav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,Vocal_HipHop_83_B_002.wav,0.703942243885015,0.743779850933841,0.778351935333893,0.780377320786201,0.799392236586148,0.757598283849206,0.769720101865909,0.822326910170748,0.837535055159339,0.866074356339664,0.871564070723906,0.862876700570794,0.791127043600234,0.772191084167576,0.751160458542841,0.714221429365228,0.714033678121216,0.66166162873357,0.717115107782836,0.759236778150553,0.793190286637997,0.904568366982748,0.919546147622927,0.930586962015128,0.936702844592635,0.953303216513077,0.953284703116174,0.963154862516317,0.932808860248983,0.917430663616268,0.903791318734169,0.890444629714551,0.918779435169159,0.931081290438752,0.940599636859613,0.944675295344059,0.948825539769595,0.952393252986661,0.960381677375262,0.960162932198276,0.958346925032408,0.956631617972158,0.950812134334675,0.959487309452762,0.952863724662652,0.953029924287462,0.935864746779292,0.939423686590285,0.910106700786242,0.900931399304017,0.916160817000151,0.928874226982131,0.963982879760321,0.954366368942999,0.957347534107684,0.961926325620177,0.952670489550118,0.952830647814403,0.946707073083567,0.930650413416297,0.909249840087159,0.900250825429979,0.906684827970311,0.892216026542769,0.891054481654951,0.849965706253301,0.780723656546156,0.750782802832523,0.801085489748474,0.84843537856484,0.898064271892771,0.938132740882512,0.942716297403246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gershwin,Rhapsody in Blue,Cakewalk,Melody,Vocal_House_130_G_001.wav,0.710572392148651,0.7354530918433,0.743894987392907,0.828573790696799,0.834472219779285,0.762728418890421,0.781813522258171,0.793306415822222,0.818795391155556,0.876026279226574,0.859771999568707,0.841415410617346,0.873589513766855,0.827457527526117,0.731462539695309,0.686641382405948,0.773701671793003,0.777517486302747,0.722052218746062,0.612952966834908,0.703383205184188,0.914906112697792,0.91683723579455,0.931331450813886,0.949664347962411,0.945188533834566,0.940757713354453,0.953665049174004,0.952323477773689,0.956116372856284,0.908056191624258,0.881658026694601,0.906061450249951,0.910199692580269,0.940778268505966,0.952129455081971,0.939981679688292,0.953501260497972,0.949363455387272,0.948246337372652,0.953773113185547,0.95663037190329,0.95344345795459,0.944207506920452,0.94609576693066,0.952199222024015,0.958727469095956,0.941281592907088,0.931299937918805,0.924474497127385,0.905724725575377,0.888623869831793,0.903210018701772,0.950471151581655,0.975783503764287,0.94573879452969,0.94963743268122,0.962760890493939,0.957976678457203,0.935980364218857,0.933855737499058,0.897710927648633,0.839749742608467,0.830581095173037,0.846132242166736,0.86960593540381,0.883157049208501,0.85219520439412,0.774410593470462,0.728994014089263,0.839019134431867,0.952627193192687,0.920945267792584,0.93497509601717,0.942442215931449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
